timestamp,phase,status,elapsed_ms,max_neighbors,initial_nodes,added_node_count,removed_node_count,expected_up,actual_up,problem_count,details,topology
2026-06-23T15:25:08+07:00,Phase 1,PASS,18848,4,14,8,7,14,14,0,stable,"{""a.1.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""n.1.86"",""p.1.42"",""s.1.92""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""s.1.92""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""n.1.86""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.1.36"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""p.1.13"",""p.1.42"",""p.1.95""]},""i.1.38"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""n.1.86"",""p.1.13"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""e.1.73"",""g.1.20"",""q.1.96"",""s.1.92""]},""n.1.86"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""p.1.13"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""n.1.86"",""q.1.96""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""b.1.06"",""h.1.44"",""p.1.95""]},""p.1.95"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""h.1.44"",""i.1.38"",""p.1.42""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""g.1.20"",""j.1.36"",""p.1.13"",""s.1.92""]},""s.1.92"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]}}"
2026-06-23T15:25:18+07:00,S1,PASS,10000,4,14,8,7,14,14,0,stable,"{""a.1.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""n.1.86"",""p.1.42"",""s.1.92""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""s.1.92""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""n.1.86""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.1.36"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""p.1.13"",""p.1.42"",""p.1.95""]},""i.1.38"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""n.1.86"",""p.1.13"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""e.1.73"",""g.1.20"",""q.1.96"",""s.1.92""]},""n.1.86"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""p.1.13"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""n.1.86"",""q.1.96""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""b.1.06"",""h.1.44"",""p.1.95""]},""p.1.95"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""h.1.44"",""i.1.38"",""p.1.42""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""g.1.20"",""j.1.36"",""p.1.13"",""s.1.92""]},""s.1.92"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]}}"
2026-06-23T15:25:33+07:00,Phase 2.1,PASS,5596,4,14,8,7,14,14,0,victim=s.1.92 reporter=q.1.96,"{""a.1.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""n.1.86"",""p.1.42"",""s.1.92""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""s.1.92""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""n.1.86""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.1.36"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""p.1.13"",""p.1.42"",""p.1.95""]},""i.1.38"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""n.1.86"",""p.1.13"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""e.1.73"",""g.1.20"",""q.1.96"",""s.1.92""]},""n.1.86"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""p.1.13"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""n.1.86"",""q.1.96""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""b.1.06"",""h.1.44"",""p.1.95""]},""p.1.95"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""h.1.44"",""i.1.38"",""p.1.42""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""g.1.20"",""j.1.36"",""p.1.13"",""s.1.92""]},""s.1.92"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]}}"
2026-06-23T15:25:40+07:00,Phase 2.2,PASS,12461,4,14,8,7,14,14,0,"victim=s.1.92 reporters=[b.1.06,c.1.67,j.1.36,q.1.96]","{""a.1.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""n.1.86"",""p.1.42"",""s.1.92""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""s.1.92""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""n.1.86""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.1.36"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""p.1.13"",""p.1.42"",""p.1.95""]},""i.1.38"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""n.1.86"",""p.1.13"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""e.1.73"",""g.1.20"",""q.1.96"",""s.1.92""]},""n.1.86"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""p.1.13"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""n.1.86"",""q.1.96""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""b.1.06"",""h.1.44"",""p.1.95""]},""p.1.95"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""h.1.44"",""i.1.38"",""p.1.42""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""g.1.20"",""j.1.36"",""p.1.13"",""s.1.92""]},""s.1.92"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]}}"
2026-06-23T15:25:57+07:00,Phase 3,PASS,27756,4,14,8,7,13,13,0,victim=s.1.92 stable,"{""a.1.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""j.1.36"",""n.1.86"",""p.1.42""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""q.1.96""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""n.1.86""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.1.36"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""p.1.13"",""p.1.42"",""p.1.95""]},""i.1.38"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""n.1.86"",""p.1.13"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""q.1.96""]},""n.1.86"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""p.1.13"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""n.1.86"",""q.1.96""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""b.1.06"",""h.1.44"",""p.1.95""]},""p.1.95"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""h.1.44"",""i.1.38"",""p.1.42""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""p.1.13""]},""s.1.92"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]}}"
2026-06-23T15:26:07+07:00,S3,PASS,10000,4,14,8,7,13,13,0,stable,"{""a.1.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""j.1.36"",""n.1.86"",""p.1.42""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""q.1.96""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""n.1.86""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.1.36"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""p.1.13"",""p.1.42"",""p.1.95""]},""i.1.38"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""n.1.86"",""p.1.13"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""q.1.96""]},""n.1.86"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""p.1.13"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""n.1.86"",""q.1.96""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""b.1.06"",""h.1.44"",""p.1.95""]},""p.1.95"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""h.1.44"",""i.1.38"",""p.1.42""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""p.1.13""]},""s.1.92"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]}}"
2026-06-23T15:27:38+07:00,Phase 4,PASS,39035,4,14,8,7,21,21,0,stable,"{""a.1.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""h.4.83"",""j.1.36"",""n.1.86""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""q.1.96""]},""c.4.91"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""o.4.54"",""p.1.13"",""p.1.42"",""p.1.95""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""n.1.86""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.4.37"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""p.1.42"",""p.1.95"",""s.4.99""]},""h.4.71"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""i.1.38"",""m.4.88"",""o.4.54"",""u.4.49""]},""h.4.83"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""o.4.54"",""p.1.42"",""s.4.99""]},""i.1.38"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""h.4.71"",""n.1.86"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""q.1.96"",""u.4.49""]},""j.4.37"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""g.1.20"",""m.4.88"",""s.4.99"",""u.4.49""]},""m.4.88"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.4.71"",""j.4.37"",""o.4.54"",""u.4.49""]},""n.1.86"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""o.4.54"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.4.91"",""h.4.71"",""h.4.83"",""m.4.88""]},""p.1.13"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.4.91"",""n.1.86"",""q.1.96"",""s.4.99""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""c.4.91"",""h.1.44"",""h.4.83""]},""p.1.95"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""c.4.91"",""h.1.44"",""i.1.38""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""p.1.13""]},""s.1.92"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]},""s.4.99"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""h.4.83"",""j.4.37"",""p.1.13""]},""u.4.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.4.71"",""j.1.36"",""j.4.37"",""m.4.88""]}}"
2026-06-23T15:27:48+07:00,S4,PASS,10000,4,14,8,7,21,21,0,stable,"{""a.1.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""h.4.83"",""j.1.36"",""n.1.86""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""q.1.96""]},""c.4.91"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""o.4.54"",""p.1.13"",""p.1.42"",""p.1.95""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""n.1.86""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.4.37"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""p.1.42"",""p.1.95"",""s.4.99""]},""h.4.71"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""i.1.38"",""m.4.88"",""o.4.54"",""u.4.49""]},""h.4.83"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""o.4.54"",""p.1.42"",""s.4.99""]},""i.1.38"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""h.4.71"",""n.1.86"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""q.1.96"",""u.4.49""]},""j.4.37"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""g.1.20"",""m.4.88"",""s.4.99"",""u.4.49""]},""m.4.88"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.4.71"",""j.4.37"",""o.4.54"",""u.4.49""]},""n.1.86"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""o.4.54"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.4.91"",""h.4.71"",""h.4.83"",""m.4.88""]},""p.1.13"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.4.91"",""n.1.86"",""q.1.96"",""s.4.99""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""c.4.91"",""h.1.44"",""h.4.83""]},""p.1.95"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.78"",""c.4.91"",""h.1.44"",""i.1.38""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""p.1.13""]},""s.1.92"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]},""s.4.99"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""h.4.83"",""j.4.37"",""p.1.13""]},""u.4.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.4.71"",""j.1.36"",""j.4.37"",""m.4.88""]}}"
2026-06-23T15:31:01+07:00,Phase 5,TIMEOUT,180401,4,14,8,7,14,14,0,"victims=[a.1.78,c.4.91,h.4.71,i.1.38,n.1.86,p.1.13,p.1.95] missing_reports=[i.1.38] stable","{""a.1.78"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""h.4.83"",""j.1.36"",""o.4.54""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""q.1.96""]},""c.4.91"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""o.4.54"",""p.1.13"",""p.1.42"",""p.1.95""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""p.1.42""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.4.37"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.4.88"",""o.4.54"",""p.1.42"",""s.4.99""]},""h.4.71"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""i.1.38"",""m.4.88"",""o.4.54"",""u.4.49""]},""h.4.83"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""o.4.54"",""p.1.42"",""s.4.99""]},""i.1.38"":{""api"":""DOWN"",""process"":""STOPPED"",""neighbors"":[""a.1.78"",""h.4.71"",""n.1.86"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""q.1.96"",""u.4.49""]},""j.4.37"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""g.1.20"",""m.4.88"",""s.4.99"",""u.4.49""]},""m.4.88"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""j.4.37"",""o.4.54"",""u.4.49""]},""n.1.86"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""o.4.54"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""h.1.44"",""h.4.83"",""m.4.88""]},""p.1.13"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""c.4.91"",""n.1.86"",""q.1.96"",""s.4.99""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""e.1.73"",""h.1.44"",""h.4.83"",""u.4.49""]},""p.1.95"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""a.1.78"",""c.4.91"",""h.1.44"",""i.1.38""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""s.4.99""]},""s.1.92"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]},""s.4.99"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""h.4.83"",""j.4.37"",""q.1.96""]},""u.4.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""j.1.36"",""j.4.37"",""m.4.88"",""p.1.42""]}}"
2026-06-23T15:31:01+07:00,R5,FAIL,0,4,14,8,7,14,14,0,"no_replaceable_nodes trigger=victims=[a.1.78,c.4.91,h.4.71,i.1.38,n.1.86,p.1.13,p.1.95] missing_reports=[i.1.38] stable","{""a.1.78"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""h.1.44"",""i.1.38"",""p.1.42"",""p.1.95""]},""b.1.06"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""h.4.83"",""j.1.36"",""o.4.54""]},""c.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""g.1.20"",""q.1.96""]},""c.4.91"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""o.4.54"",""p.1.13"",""p.1.42"",""p.1.95""]},""e.1.73"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""p.1.42""]},""g.1.20"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""e.1.73"",""j.4.37"",""q.1.96""]},""h.1.44"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.4.88"",""o.4.54"",""p.1.42"",""s.4.99""]},""h.4.71"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""i.1.38"",""m.4.88"",""o.4.54"",""u.4.49""]},""h.4.83"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""o.4.54"",""p.1.42"",""s.4.99""]},""i.1.38"":{""api"":""DOWN"",""process"":""STOPPED"",""neighbors"":[""a.1.78"",""h.4.71"",""n.1.86"",""p.1.95""]},""j.1.36"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""e.1.73"",""q.1.96"",""u.4.49""]},""j.4.37"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""g.1.20"",""m.4.88"",""s.4.99"",""u.4.49""]},""m.4.88"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""j.4.37"",""o.4.54"",""u.4.49""]},""n.1.86"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""b.1.06"",""e.1.73"",""i.1.38"",""p.1.13""]},""o.4.54"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""b.1.06"",""h.1.44"",""h.4.83"",""m.4.88""]},""p.1.13"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""c.4.91"",""n.1.86"",""q.1.96"",""s.4.99""]},""p.1.42"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""e.1.73"",""h.1.44"",""h.4.83"",""u.4.49""]},""p.1.95"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""a.1.78"",""c.4.91"",""h.1.44"",""i.1.38""]},""q.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""c.1.67"",""g.1.20"",""j.1.36"",""s.4.99""]},""s.1.92"":{""api"":""UNREACHABLE"",""process"":""STOPPED"",""neighbors"":[""b.1.06"",""c.1.67"",""j.1.36"",""q.1.96""]},""s.4.99"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.44"",""h.4.83"",""j.4.37"",""q.1.96""]},""u.4.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""j.1.36"",""j.4.37"",""m.4.88"",""p.1.42""]}}"
