timestamp,phase,status,elapsed_ms,max_neighbors,initial_nodes,added_node_count,removed_node_count,expected_up,actual_up,problem_count,details,topology
2026-06-22T20:39:21+07:00,Phase 1,TIMEOUT,120233,4,10,5,5,10,10,1,deficient=[o.1.64],"{""h.1.50"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""n.1.27"",""t.1.61""]},""l.1.93"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""n.1.27"",""s.1.04"",""z.1.67""]},""m.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""z.1.49"",""z.1.67""]},""n.1.27"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""l.1.93"",""o.1.05"",""z.1.49""]},""o.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""n.1.27"",""t.1.61"",""z.1.67""]},""o.1.64"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""s.1.04"",""t.1.61""]},""s.1.04"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""o.1.64"",""z.1.49"",""z.1.67""]},""t.1.61"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""o.1.64"",""z.1.49""]},""z.1.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""n.1.27"",""s.1.04"",""t.1.61""]},""z.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""o.1.05"",""s.1.04""]}}"
2026-06-22T20:41:27+07:00,R1,TIMEOUT,126050,4,10,5,5,10,11,3,"unexpected_up=[o.1.64] stale_edge=[s.1.04,t.1.61] replaced=o.1.64->t.R.70 trigger=deficient=[o.1.64]","{""h.1.50"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""n.1.27"",""t.1.61""]},""l.1.93"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""n.1.27"",""s.1.04"",""z.1.67""]},""m.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""z.1.49"",""z.1.67""]},""n.1.27"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""l.1.93"",""t.R.70"",""z.1.49""]},""o.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""t.1.61"",""t.R.70"",""z.1.67""]},""o.1.64"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""s.1.04"",""t.1.61""]},""s.1.04"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""o.1.64"",""t.R.70"",""z.1.49""]},""t.1.61"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""o.1.64"",""z.1.49""]},""t.R.70"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""n.1.27"",""o.1.05"",""s.1.04"",""z.1.67""]},""z.1.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""n.1.27"",""s.1.04"",""t.1.61""]},""z.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""o.1.05"",""t.R.70""]}}"
2026-06-22T20:43:38+07:00,Phase 2.1,TIMEOUT,120500,4,10,5,5,10,11,0,victim=z.1.49 report=missing,"{""h.1.50"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""n.1.27"",""t.1.61""]},""l.1.93"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""n.1.27"",""s.1.04"",""z.1.67""]},""m.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""z.1.49"",""z.1.67""]},""n.1.27"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""l.1.93"",""t.R.70"",""z.1.49""]},""o.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""t.1.61"",""t.R.70"",""z.1.67""]},""o.1.64"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""s.1.04"",""t.1.61""]},""s.1.04"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""o.1.64"",""t.R.70"",""z.1.49""]},""t.1.61"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""o.1.64"",""z.1.49""]},""t.R.70"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""n.1.27"",""o.1.05"",""s.1.04"",""z.1.67""]},""z.1.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""n.1.27"",""s.1.04"",""t.1.61""]},""z.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""o.1.05"",""t.R.70""]}}"
2026-06-22T20:43:38+07:00,Phase 2.2,TIMEOUT,120500,4,10,5,5,10,11,0,"victim=z.1.49 missing_reporters=[m.1.60,n.1.27,s.1.04,t.1.61]","{""h.1.50"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""n.1.27"",""t.1.61""]},""l.1.93"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""n.1.27"",""s.1.04"",""z.1.67""]},""m.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""z.1.49"",""z.1.67""]},""n.1.27"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""l.1.93"",""t.R.70"",""z.1.49""]},""o.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""t.1.61"",""t.R.70"",""z.1.67""]},""o.1.64"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""s.1.04"",""t.1.61""]},""s.1.04"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""o.1.64"",""t.R.70"",""z.1.49""]},""t.1.61"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""o.1.64"",""z.1.49""]},""t.R.70"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""n.1.27"",""o.1.05"",""s.1.04"",""z.1.67""]},""z.1.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""n.1.27"",""s.1.04"",""t.1.61""]},""z.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""o.1.05"",""t.R.70""]}}"
2026-06-22T20:44:38+07:00,Phase 3,TIMEOUT,180135,4,10,5,5,9,11,6,"victim=z.1.49 unexpected_up=[o.1.64,z.1.49] stale_edge=[m.1.60,n.1.27,s.1.04,t.1.61]","{""h.1.50"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""n.1.27"",""t.1.61""]},""l.1.93"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""n.1.27"",""s.1.04"",""z.1.67""]},""m.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""z.1.49"",""z.1.67""]},""n.1.27"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""l.1.93"",""t.R.70"",""z.1.49""]},""o.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""t.1.61"",""t.R.70"",""z.1.67""]},""o.1.64"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""s.1.04"",""t.1.61""]},""s.1.04"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""o.1.64"",""t.R.70"",""z.1.49""]},""t.1.61"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""o.1.05"",""o.1.64"",""z.1.49""]},""t.R.70"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""n.1.27"",""o.1.05"",""s.1.04"",""z.1.67""]},""z.1.49"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""m.1.60"",""n.1.27"",""s.1.04"",""t.1.61""]},""z.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""m.1.60"",""o.1.05"",""t.R.70""]}}"
2026-06-22T20:47:03+07:00,R3,TIMEOUT,144542,4,10,5,5,9,15,14,"unexpected_up=[m.1.60,n.1.27,o.1.64,s.1.04,t.1.61,z.1.49] stale_edge=[h.1.50,h.R.72,j.R.25,l.1.93,o.1.05,p.R.78,q.R.55,t.R.70] replaced=m.1.60->p.R.78,n.1.27->j.R.25,s.1.04->q.R.55,t.1.61->h.R.72 trigger=unexpected_up=[o.1.64,z.1.49] stale_edge=[m.1.60,n.1.27,s.1.04,t.1.61]","{""h.1.50"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""l.1.93"",""n.1.27"",""p.R.78"",""q.R.55""]},""h.R.72"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""q.R.55"",""t.1.61"",""z.1.67""]},""j.R.25"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""m.1.60"",""o.1.05"",""o.1.64"",""t.1.61""]},""l.1.93"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""p.R.78"",""s.1.04"",""z.1.67""]},""m.1.60"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""h.R.72"",""j.R.25"",""p.R.78"",""z.1.49""]},""n.1.27"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""h.1.50"",""p.R.78"",""t.R.70"",""z.1.49""]},""o.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""j.R.25"",""o.1.64"",""t.R.70"",""z.1.67""]},""o.1.64"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""j.R.25"",""o.1.05"",""q.R.55"",""s.1.04""]},""p.R.78"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""l.1.93"",""m.1.60"",""n.1.27""]},""q.R.55"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.1.50"",""h.R.72"",""o.1.64"",""t.1.61""]},""s.1.04"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""l.1.93"",""o.1.64"",""t.R.70"",""z.1.49""]},""t.1.61"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""h.R.72"",""j.R.25"",""q.R.55"",""z.1.49""]},""t.R.70"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""n.1.27"",""o.1.05"",""s.1.04"",""z.1.67""]},""z.1.49"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""m.1.60"",""n.1.27"",""s.1.04"",""t.1.61""]},""z.1.67"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""h.R.72"",""l.1.93"",""o.1.05"",""t.R.70""]}}"
2026-06-22T20:52:58+07:00,Phase 1,TIMEOUT,120053,4,10,5,5,10,10,1,deficient=[x.1.90],"{""a.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""h.1.43"",""i.1.96"",""k.1.49""]},""f.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.07"",""h.1.43"",""u.1.14""]},""f.1.07"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""k.1.49"",""o.1.02"",""p.1.30""]},""h.1.43"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.05"",""k.1.49"",""o.1.02""]},""i.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""p.1.30"",""u.1.14"",""x.1.90""]},""k.1.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.07"",""h.1.43"",""p.1.30""]},""o.1.02"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.07"",""h.1.43"",""p.1.30"",""u.1.14""]},""p.1.30"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.07"",""i.1.96"",""k.1.49"",""o.1.02""]},""u.1.14"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""i.1.96"",""o.1.02"",""x.1.90""]},""x.1.90"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""i.1.96"",""u.1.14""]}}"
2026-06-22T20:55:04+07:00,R1,TIMEOUT,126077,4,10,5,5,10,11,3,"unexpected_up=[x.1.90] stale_edge=[i.1.96,u.1.14] replaced=x.1.90->d.R.17 trigger=deficient=[x.1.90]","{""a.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""h.1.43"",""i.1.96"",""k.1.49""]},""d.R.17"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""i.1.96"",""k.1.49"",""p.1.30"",""u.1.14""]},""f.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.07"",""h.1.43"",""u.1.14""]},""f.1.07"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""k.1.49"",""o.1.02"",""p.1.30""]},""h.1.43"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.05"",""k.1.49"",""o.1.02""]},""i.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""d.R.17"",""p.1.30"",""x.1.90""]},""k.1.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""d.R.17"",""f.1.07"",""h.1.43""]},""o.1.02"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.07"",""h.1.43"",""p.1.30"",""u.1.14""]},""p.1.30"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""d.R.17"",""f.1.07"",""i.1.96"",""o.1.02""]},""u.1.14"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""d.R.17"",""f.1.05"",""o.1.02"",""x.1.90""]},""x.1.90"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""i.1.96"",""u.1.14""]}}"
2026-06-22T20:57:14+07:00,Phase 2.1,TIMEOUT,120034,4,10,5,5,10,11,0,victim=a.1.60 report=missing,"{""a.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""h.1.43"",""i.1.96"",""k.1.49""]},""d.R.17"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""i.1.96"",""k.1.49"",""p.1.30"",""u.1.14""]},""f.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.07"",""h.1.43"",""u.1.14""]},""f.1.07"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""k.1.49"",""o.1.02"",""p.1.30""]},""h.1.43"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.05"",""k.1.49"",""o.1.02""]},""i.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""d.R.17"",""p.1.30"",""x.1.90""]},""k.1.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""d.R.17"",""f.1.07"",""h.1.43""]},""o.1.02"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.07"",""h.1.43"",""p.1.30"",""u.1.14""]},""p.1.30"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""d.R.17"",""f.1.07"",""i.1.96"",""o.1.02""]},""u.1.14"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""d.R.17"",""f.1.05"",""o.1.02"",""x.1.90""]},""x.1.90"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""i.1.96"",""u.1.14""]}}"
2026-06-22T20:57:14+07:00,Phase 2.2,TIMEOUT,120034,4,10,5,5,10,11,0,"victim=a.1.60 missing_reporters=[f.1.05,h.1.43,i.1.96,k.1.49]","{""a.1.60"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""h.1.43"",""i.1.96"",""k.1.49""]},""d.R.17"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""i.1.96"",""k.1.49"",""p.1.30"",""u.1.14""]},""f.1.05"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.07"",""h.1.43"",""u.1.14""]},""f.1.07"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.05"",""k.1.49"",""o.1.02"",""p.1.30""]},""h.1.43"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""f.1.05"",""k.1.49"",""o.1.02""]},""i.1.96"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""d.R.17"",""p.1.30"",""x.1.90""]},""k.1.49"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""a.1.60"",""d.R.17"",""f.1.07"",""h.1.43""]},""o.1.02"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""f.1.07"",""h.1.43"",""p.1.30"",""u.1.14""]},""p.1.30"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""d.R.17"",""f.1.07"",""i.1.96"",""o.1.02""]},""u.1.14"":{""api"":""UP"",""process"":""RUNNING"",""neighbors"":[""d.R.17"",""f.1.05"",""o.1.02"",""x.1.90""]},""x.1.90"":{""api"":""UP"",""process"":""STOPPED"",""neighbors"":[""i.1.96"",""u.1.14""]}}"
