timestamp,phase,status,elapsed_ms,initial_nodes,added_node_count,max_neighbors,details,edge_case_note,failed_nodes_count,metadata
2026-06-21T22:43:38+07:00,Phase 1,PARTIAL,123206,10,6,4,Timed out waiting for full neighbors; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T22:45:55+07:00,Phase 2,PARTIAL,123175,10,6,4,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T22:48:57+07:00,Phase 3,PARTIAL,182111,10,6,4,Timed out waiting for convergence; 0 node(s) still did not reach MAX_NEIGHBORS,"Expected 9 surviving active nodes, but found 0",0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T22:51:43+07:00,Phase 4,PARTIAL,155822,10,6,4,Timed out waiting after adding nodes; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T22:55:01+07:00,Phase 1,PARTIAL,122931,10,6,4,Timed out waiting for full neighbors; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T22:57:18+07:00,Phase 2,PARTIAL,122851,10,6,4,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:00:21+07:00,Phase 3,PARTIAL,182442,10,6,4,Timed out waiting for convergence; 0 node(s) still did not reach MAX_NEIGHBORS,"Expected 9 surviving active nodes, but found 0",0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:03:07+07:00,Phase 4,PARTIAL,156302,10,6,4,Timed out waiting after adding nodes; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:06:25+07:00,Phase 1,PARTIAL,123255,10,6,4,Timed out waiting for full neighbors; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:08:42+07:00,Phase 2,PARTIAL,123246,10,6,4,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:11:44+07:00,Phase 3,PARTIAL,182424,10,6,4,Timed out waiting for convergence; 0 node(s) still did not reach MAX_NEIGHBORS,"Expected 9 surviving active nodes, but found 0",0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:14:31+07:00,Phase 4,PARTIAL,156143,10,6,4,Timed out waiting after adding nodes; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:17:48+07:00,Phase 1,PARTIAL,123153,10,6,4,Timed out waiting for full neighbors; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:20:05+07:00,Phase 2,PARTIAL,123034,10,6,4,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:23:08+07:00,Phase 3,PARTIAL,182701,10,6,4,Timed out waiting for convergence; 0 node(s) still did not reach MAX_NEIGHBORS,"Expected 9 surviving active nodes, but found 0",0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:25:54+07:00,Phase 4,PARTIAL,156075,10,6,4,Timed out waiting after adding nodes; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:29:12+07:00,Phase 1,PARTIAL,123276,10,6,4,Timed out waiting for full neighbors; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:31:29+07:00,Phase 2,PARTIAL,123187,10,6,4,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T23:34:32+07:00,Phase 3,PARTIAL,182845,10,6,4,Timed out waiting for convergence; 0 node(s) still did not reach MAX_NEIGHBORS,"Expected 9 surviving active nodes, but found 0",0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": true}"
